CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
50069856,GOLDEN THAI,Brooklyn,469,IRVING AVENUE,11237,9179661203,Thai,43832,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,43832,44084,Cycle Inspection / Re-inspection,40.69548145,-73.90815333,304,37,43900,3078086,3033930001,BK77
50049836,SIMPLE ELDRIDGE,Manhattan,109,ELDRIDGE STREET,10002,6468708292,Japanese,43893,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,43893,44084,Cycle Inspection / Initial Inspection,40.7181184,-73.99199508,103,1,1800,1005573,1004180047,MN27
50102796,DAILY SPOON,Queens,2534,JACKSON AVE,11101,3477023643,Chinese,43902,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,43902,44084,Pre-permit (Operational) / Initial Inspection,40.74685869,-73.9430138,402,26,1900,4315134,4000810005,QN31
50099369,KITOPI VANDERBILT,Brooklyn,15,VANDERBILT AVENUE,11205,9173994667,American,43853,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,8,A,43853,44084,Pre-permit (Operational) / Initial Inspection,40.69727389,-73.97065184,302,35,21100,3054112,3018720018,BK68
50062963,GIOVANNI ITALIAN RESTAURANT,Brooklyn,192,AVENUE U,11223,7183721440,Italian,43867,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,43867,44084,Cycle Inspection / Re-inspection,40.59654465,-73.97703738,315,47,39800,3192528,3071210005,BK26
50044882,NEW LITTLE CHOPSTICKS,Bronx,959,LEGGETT AVENUE,10455,7188603299,Chinese,43836,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,7,A,43836,44084,Cycle Inspection / Re-inspection,40.8153358,-73.90023435,202,17,8500,2005556,2027080016,BX33
41644679,PIONEER RESTAURANT,Bronx,223,WEST  231 STREET,10463,7188848885,Chinese,43899,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,8,A,43899,44084,Cycle Inspection / Initial Inspection,40.87927062,-73.90548282,208,11,28900,2083162,2057040050,BX29
50055403,TACO DUMBO,Brooklyn,117,ADAMS STREET,11201,4065395950,Mexican,43859,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,12,A,43859,44084,Cycle Inspection / Initial Inspection,40.7006257,-73.98866119,302,33,1300,3000170,3000760001,BK38
50072539,FRIDUCHA MEXICAN,Brooklyn,946,MANHATTAN AVENUE,11222,7183830026,Mexican,43906,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,7,A,43906,44084,Cycle Inspection / Initial Inspection,40.7315041,-73.95446488,301,33,57500,3064613,3025510008,BK76
50103722,ONCE MORE THAI,Manhattan,6,CLINTON STREET,10002,2122288858,Thai,43906,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,13,A,43906,44084,Pre-permit (Operational) / Initial Inspection,40.72110387,-73.98400388,103,2,2201,1004264,1003500050,MN28
50060557,HAPPY HOME CUISINE,Brooklyn,12,BAY   25 STREET,11214,7183331088,Chinese,43836,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,43836,44084,Cycle Inspection / Initial Inspection,40.60376023,-73.99793649,311,47,28800,3166902,3063750038,BK28
41643074,CASA ENRIQUE,Queens,17654,49 AVENUE,11101,3474486040,Mexican,43889,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,10,A,43889,44084,Cycle Inspection / Initial Inspection,40.74378472,-73.95583864,402,26,700,4000145,4000320048,QN31
41687795,BROADWAY CHINESE SEAFOOD,Queens,83-17,BROADWAY,11373,7186990688,Chinese,43857,Violations were cited in the following area(s).,09B,Thawing procedures improper.,N,12,A,43857,44084,Cycle Inspection / Re-inspection,40.74083436,-73.87964695,404,25,47100,4534594,4015807501,QN29
50041718,BIRDY'S,Brooklyn,1215,MYRTLE AVE,11221,9176588941,American,43858,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43858,44084,Cycle Inspection / Initial Inspection,40.6976003,-73.93154106,304,34,39100,3072457,3031830077,BK78
50100512,CHINA STAR KING RESTAURANT,Brooklyn,2419,FOSTER AVENUE,11210,7182826688,Chinese,43857,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,12,A,43857,44084,Pre-permit (Operational) / Initial Inspection,40.6384284,-73.95345491,317,45,79000,3120360,3052110064,BK95
50100420,SOHO DINER,Manhattan,320,WEST BROADWAY,10013,2129653091,American,43854,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43854,44084,Pre-permit (Operational) / Re-inspection,40.72190639,-74.00417766,102,1,4700,1087764,1002270028,MN24
40546098,CHURRASCARIA PLATAFORMA,Manhattan,316,WEST   49 STREET,10019,2122450505,Brazilian,43846,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,7,A,43846,44084,Cycle Inspection / Initial Inspection,40.76203421,-73.98748472,104,3,12700,1025137,1010390017,MN15
50090585,MR WONTON CHINESE RESTAURANT,Queens,4411,QUEENS BLVD,11104,7184332672,Chinese,43867,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,12,A,43867,44084,Cycle Inspection / Initial Inspection,40.74335111,-73.92034984,402,26,18300,4001919,4001617501,QN31
41721343,COFFEE SHOP DINER,Manhattan,442,EAST   14 STREET,10009,2122605842,American,43880,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12,A,43880,44084,Cycle Inspection / Re-inspection,40.73078973,-73.98120885,103,2,3400,1006019,1004410029,MN22
40380826,FIT CAFETERIA (BUILDING A ) (8th ave),Manhattan,227,WEST   27 STREET,10001,2122175770,American,43867,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,10,A,43867,44084,Cycle Inspection / Initial Inspection,40.74711976,-73.99499068,105,3,9500,1014251,1007770018,MN17
50098161,VANDAM DELI KITCHEN,Manhattan,30,VANDAM STREET,10013,2122037142,American,43833,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43833,44084,Pre-permit (Operational) / Initial Inspection,40.72635836,-74.00501497,102,3,3700,1007818,1005050014,MN24
41197747,BEST COFFEE SHOP,Staten Island,117,WATER STREET,10304,7185569565,American,43846,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,13,A,43846,44084,Cycle Inspection / Initial Inspection,40.62696845,-74.07777433,501,49,2100,5013675,5005210043,SI37
50070322,INDIAN CURRY HEIGHTS,Brooklyn,125,RALPH AVENUE,11221,7189287707,Indian,43859,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,9,A,43859,44084,Cycle Inspection / Initial Inspection,40.68577332,-73.92327459,303,41,37500,3039836,3014870002,BK35
40797684,AMERICAS CAFE & GRILL,Manhattan,1159,3 AVENUE,10065,2126280740,American,43846,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,11,A,43846,44084,Cycle Inspection / Re-inspection,40.76683765,-73.96270775,108,4,11800,1043896,1014220048,MN31
50033833,SUSHI D,Brooklyn,207,DEKALB AVENUE,11205,7188580058,Japanese,43874,Violations were cited in the following area(s).,08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",N,13,A,43874,44084,Cycle Inspection / Initial Inspection,40.68955026,-73.9712935,302,35,18300,3335273,3020900065,BK68
41670551,KIM HUA,Bronx,628,COURTLANDT AVENUE,10451,7185859095,Chinese,43875,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,43875,44084,Cycle Inspection / Initial Inspection,40.81845189,-73.91866993,201,17,6700,2001660,2023980007,BX34
50073690,SZECHUAN MOUNTAIN HOUSE,Manhattan,23,SAINT MARKS PLACE,10003,9173883866,Chinese,43839,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,12,A,43839,44084,Cycle Inspection / Initial Inspection,40.72900112,-73.98860943,103,2,3800,1006754,1004640048,MN22
50018450,UNCLE WANG CHINESE FOOD,Brooklyn,5723,8 AVENUE,11220,3479874763,Chinese,43846,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Y,10,A,43846,44084,Cycle Inspection / Initial Inspection,40.63701303,-74.00795912,312,38,10400,3140159,3056930001,BK34
50036198,KENNEDY'S CHICKEN & GRILL,Manhattan,1550,SAINT NICHOLAS AVENUE,10040,2127814739,American,43892,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,10,A,43892,44084,Cycle Inspection / Initial Inspection,40.85336466,-73.93075476,112,10,26900,1063808,1021580007,MN35
41580082,THE LEOPARD AT DES ARTISTES,Manhattan,1,WEST   67 STREET,10023,2127878767,Italian,43895,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,12,A,43895,44084,Cycle Inspection / Re-inspection,40.77321231,-73.97870202,107,6,15300,1028242,1011200023,MN14
40367164,NEW FLORIDIAN DINER,Brooklyn,2301,FLATBUSH AVENUE,11234,7183771895,American,43885,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,43885,44084,Cycle Inspection / Initial Inspection,40.61388183,-73.92718624,318,46,67200,3240573,3085100011,BK58
50095615,EGGCELLENT,Queens,13515,40TH RD,11354,9179818872,Chinese,43892,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,4,A,43892,44084,Cycle Inspection / Initial Inspection,40.75886248,-73.83012937,407,20,87100,4114130,4050360050,QN22
40623604,GOOD ENOUGH TO EAT (A.G. BISTRO),Manhattan,520,COLUMBUS AVENUE,10024,2125793194,American,43894,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,10,A,43894,44084,Cycle Inspection / Re-inspection,40.7859055,-73.97260597,107,6,16900,1032161,1012160027,MN12
50059417,YUMMY CHINESE RESTAURANT,Brooklyn,985,NOSTRAND AVENUE,11225,7187788898,Chinese,43900,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,13,A,43900,44084,Cycle Inspection / Initial Inspection,40.66441495,-73.95098203,309,35,31900,3324550,3013090001,BK63
50042774,BLANK SLATE COFFEE + KITCHEN,Manhattan,121,MADISON AVENUE,10016,2126837800,American,43838,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,8,A,43838,44084,Cycle Inspection / Re-inspection,40.74539788,-73.98466206,105,2,7400,1016958,1008600022,MN17
50008104,JASPER'S TAPHOUSE & KITCHEN,Manhattan,761,9 AVENUE,10019,2129751000,American,43852,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,N,10,A,43852,44084,Cycle Inspection / Initial Inspection,40.76424658,-73.98840123,104,3,13300,1026720,1010610029,MN15
41296144,NEW JOY KITCHEN JOY TACO,Queens,138-36,86 AVENUE,11435,7185580866,Chinese,43900,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,9,A,43900,44084,Cycle Inspection / Initial Inspection,40.7077901,-73.81733654,408,24,21400,4206504,4096460032,QN35
50060371,TASTE OF CHINA,Brooklyn,7824,20 AVENUE,11214,7182563838,Chinese,43900,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43900,44084,Cycle Inspection / Initial Inspection,40.60893949,-73.99375136,311,47,27400,3162263,3062620043,BK28
50074043,ANTONIO'S,Queens,7602A,21ST AVE,11370,7187289200,Italian,43847,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,10,A,43847,44084,Cycle Inspection / Re-inspection,40.77042566,-73.89355787,401,22,31700,4021391,4009720001,QN72
50047733,CARDIFF GIANT,Brooklyn,415,MYRTLE AVENUE,11205,9293377873,American,43853,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,43853,44084,Cycle Inspection / Initial Inspection,40.69312615,-73.96920042,302,35,18700,3054292,3018870096,BK68
50074402,MEGUMI,Brooklyn,5102,AVENUE U,11234,9084321527,Japanese,43899,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,10,A,43899,44084,Cycle Inspection / Re-inspection,40.60996998,-73.92222034,318,46,69800,3238574,3084700050,BK45
40400556,LEGEND'S PUB,Staten Island,1975,VICTORY BOULEVARD,10314,7184421320,American,43843,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,10,A,43843,44084,Cycle Inspection / Re-inspection,40.61254985,-74.12957539,501,50,15100,5103907,5003780021,SI07
50079556,TAP & POUR,Queens,NKA,"LAGUARDIA AIRPORT, CENTRAL TERMINAL BLDG",11369,7184467600,American,43871,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,3,A,43871,44084,Cycle Inspection / Initial Inspection,40.77441403,-73.87729335,480,21,33100,4000000,4009260001,QN98
50045631,PUEBLA RESTAURANT,Queens,3922,61ST ST,11377,7182052605,Mexican,43902,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,43902,44084,Cycle Inspection / Initial Inspection,40.74657928,-73.90295784,402,26,25900,4028332,4012290106,QN63
50097060,DELI COFFEE SHOP 55,Queens,5514,37TH AVE,11377,3472452977,Spanish,43853,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,9,A,43853,44084,Pre-permit (Operational) / Re-inspection,40.75077919,-73.90678108,402,26,25500,4430199,4012100007,QN63
50001551,RAJDHANI INDIAN RESTUARANT,Queens,206-08,HILLSIDE AVENUE,11427,7184649100,Indian,43895,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43895,44084,Cycle Inspection / Re-inspection,40.72118987,-73.7592278,413,23,49200,4225775,4105810001,QN06
40669474,THE MANSION GRAND,Staten Island,141,MANSION AVENUE,10308,7186059200,American,43832,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,12,A,43832,44084,Cycle Inspection / Initial Inspection,40.544639,-74.14053238,503,51,15603,5066110,5052010033,SI54
50061459,MUSIC HALL OF WILLIAMSBURG,Brooklyn,66,N 6TH ST,11249,9174551282,American,43902,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,13,A,43902,44084,Cycle Inspection / Re-inspection,40.71932271,-73.96162693,301,33,55500,3062158,3023330013,BK73
50089916,BAGEL STORY,Brooklyn,1237,FULTON STREET,11216,7188727545,American,43837,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",N,13,A,43837,44084,Cycle Inspection / Re-inspection,40.68055753,-73.95228609,303,36,24500,3052977,3018420053,BK75
50067994,EL DOMINICAN VALLE RESTAURANT,Manhattan,1601,SAINT NICHOLAS AVENUE,10040,6468690092,Spanish,43867,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Y,12,A,43867,44084,Cycle Inspection / Initial Inspection,40.85500255,-73.92958182,112,10,27900,1064035,1021690053,MN35
50042744,AZTEC SOUL,Brooklyn,3372,ATLANTIC AVENUE,11208,3476631651,Mexican,43866,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Y,11,A,43866,44084,Cycle Inspection / Initial Inspection,40.68155545,-73.87197376,305,37,117800,3093271,3041620018,BK83
50018775,ROSIE'S,Manhattan,29,EAST    2 STREET,10003,2123350114,Mexican,43901,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,A,43901,44084,Cycle Inspection / Initial Inspection,40.72516414,-73.99094436,103,2,3602,1087254,1004570128,MN22
50056057,MITO ASIAN FUSION,Queens,6418,108TH ST,11375,7182556668,Japanese,43852,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,13,A,43852,44084,Cycle Inspection / Initial Inspection,40.73250944,-73.84939621,406,29,74300,4439613,4021490001,QN17
41006765,DOS CAMINOS,Manhattan,675,HUDSON STREET,10014,2126992400,Mexican,43853,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,43853,44084,Cycle Inspection / Initial Inspection,40.7403594,-74.00523255,102,3,7900,1011691,1006290001,MN23
50100711,CHOI YUAN,Bronx,4,BEDFORD PARK BLVD EAST,10468,7186655878,Chinese,43892,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,7,A,43892,44084,Pre-permit (Operational) / Initial Inspection,40.87324241,-73.88922713,207,11,40701,2017611,2033200009,BX28
50099381,HOMEMADE TAQUERIA,Brooklyn,517,MEEKER AVENUE,11222,9174179423,Mexican,43894,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Y,11,A,43894,44084,Pre-permit (Operational) / Re-inspection,40.72049843,-73.94395997,301,33,59100,3067994,3027270043,BK76
50053225,TEMPLE COURT,Manhattan,5,BEEKMAN STREET,10038,2127800880,American,43833,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,7,A,43833,44084,Cycle Inspection / Re-inspection,40.71138557,-74.00666588,101,1,1501,1079072,1000907503,MN25
50057847,BAY MARKET KITCHEN,Brooklyn,850,3 AVENUE,11232,9293053838,American,43892,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,11,A,43892,44084,Cycle Inspection / Initial Inspection,40.65851038,-74.00332668,307,38,1800,3009889,3006710001,BK32
50084712,THE INDEPENDENT,Manhattan,147,WEST   40 STREET,10018,9173883727,American,43836,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,6,A,43836,44084,Cycle Inspection / Initial Inspection,40.75443942,-73.98715047,105,3,11300,1022570,1009930104,MN17
50017983,LIVINGSTON MANOR,Brooklyn,42,HOYT STREET,11201,3479873292,American,43887,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,43887,44084,Cycle Inspection / Initial Inspection,40.68929773,-73.98597313,302,33,3700,3000490,3001640038,BK38
41641722,GOOD FRIENDS RESTAURANT,Brooklyn,9528,AVENUE L,11236,7182510050,Chinese,43865,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,9,A,43865,44084,Cycle Inspection / Initial Inspection,40.63784219,-73.89655536,318,46,101000,3232745,3082600045,BK50
50068674,IL MULINO,Manhattan,361,GREENWICH STREET,10013,2122238848,Italian,43844,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,12,A,43844,44084,Cycle Inspection / Re-inspection,40.71908712,-74.01034269,101,1,3900,1084857,1001817501,MN24
41543374,HUDSON STATION,Manhattan,440,9 AVENUE,10001,2122444406,American,43900,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,7,A,43900,44084,Cycle Inspection / Initial Inspection,40.75370997,-73.99605134,104,3,11100,1013562,1007580082,MN13
50101528,JING WEI HOTPOT,Brooklyn,706,60 STREET,11220,7184928833,Chinese,43852,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Y,12,A,43852,44084,Pre-permit (Operational) / Re-inspection,40.63655437,-74.0113423,307,38,11800,3403972,3057850009,BK34
50038065,ANTOJITOS MEXICANO,Manhattan,511,WEST  181 STREET,10033,2125688800,Spanish,43882,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Y,10,A,43882,44084,Cycle Inspection / Re-inspection,40.84833943,-73.93139616,112,10,26900,1063702,1021550028,MN35
50078082,LAMANO,Manhattan,39,CHRISTOPHER STREET,10014,2122433200,Spanish,43872,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,43872,44084,Cycle Inspection / Initial Inspection,40.73380227,-74.0015227,102,3,7300,1010676,1006100030,MN23
50080002,INTERSECT BY LEXUS,Manhattan,412,WEST   14 STREET,10014,2122305832,American,43857,Violations were cited in the following area(s).,10J,"""""Wash hands” sign not posted at hand wash facility.",N,11,A,43857,44084,Cycle Inspection / Re-inspection,40.74122396,-74.0060554,102,3,7900,1086105,1006467501,MN23
41459414,NEW YUNG HONG,Bronx,271,WEST KINGSBRIDGE ROAD,10463,7185490030,Chinese,43837,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,N,4,A,43837,44084,Cycle Inspection / Initial Inspection,40.87285041,-73.90512678,208,14,27300,2015865,2032590006,BX28
50047226,CHERRY POINT,Brooklyn,664,MANHATTAN AVENUE,11222,7183893828,American,43894,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,43894,44084,Cycle Inspection / Re-inspection,40.72468206,-73.95130192,301,33,56900,3066112,3026470047,BK76
50044423,BRIARWOOD CAFE,Queens,13849,QUEENS BLVD,11435,7182977494,American,43881,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,43881,44084,Cycle Inspection / Initial Inspection,40.70789235,-73.81776908,408,24,21400,4206511,4096490017,QN35
40386999,DUE,Manhattan,1396,THIRD AVENUE,10075,2127723331,Italian,43885,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",N,7,A,43885,44084,Cycle Inspection / Initial Inspection,40.77456218,-73.95709989,108,5,14000,1085208,1015080035,MN40
50000616,NEW BROADWAY PIZZERIA AND COFFEE,Manhattan,4312,BROADWAY,10033,2129276250,American,43896,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Y,12,A,43896,44084,Cycle Inspection / Initial Inspection,40.85183824,-73.93486991,112,10,27100,1063930,1021640042,MN35
40367338,TAP ROOM/GRAB & GO,Manhattan,180,CENTRAL PARK SOUTH,10019,2127677085,American,43888,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,9,A,43888,44084,Cycle Inspection / Re-inspection,40.76671822,-73.97873659,105,4,13700,1023750,1010110001,MN17
50039368,GOOD NIGHT SONNY,Manhattan,134,1 AVENUE,10009,9173328432,American,43903,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,N,12,A,43903,44084,Cycle Inspection / Re-inspection,40.72766952,-73.98521818,103,2,3200,1005893,1004360060,MN22
50099983,LOS MARIACHIS RESTAURANT INC,Brooklyn,805,CONEY ISLAND AVENUE,11218,7188263388,Mexican,43852,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,13,A,43852,44084,Pre-permit (Operational) / Re-inspection,40.63776924,-73.96835052,314,40,52600,3118583,3051530044,BK42
50071439,BURGER INN AND GRILL,Manhattan,176,CHURCH STREET,10013,6469985998,Indian,43901,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Y,13,A,43901,44084,Cycle Inspection / Initial Inspection,40.71555757,-74.00744908,101,1,3300,1001604,1001460027,MN24
